Id,IsActive,IsDeleted,CreatedOn,LastModifiedOn,DeletedOn,Name,Description
10,t,f,2025-06-26 11:41:49.94+00,2025-06-26 11:41:49.94+00,,CLUB & NIGHTLIFE,
11,t,f,2025-06-26 11:42:44.5+00,2025-06-26 11:42:44.5+00,,FESTIVAL & OPEN-AIR,
12,t,f,2025-06-26 11:43:02.716666+00,2025-06-26 11:43:02.716666+00,,SHOWCASE & INDUSTRY,
13,t,f,2025-06-26 11:55:53.236666+00,2025-06-26 11:55:53.236666+00,,EDUCATIONAL & NETWORKING,
14,t,f,2025-06-26 11:56:20.13+00,2025-06-26 11:56:20.13+00,,TOURS & SPECIAL FORMATS,
15,t,f,2025-06-26 11:56:46.786666+00,2025-06-26 11:56:46.786666+00,,VENUE & COMMUNITY DRIVEN,
16,t,f,2025-06-26 11:58:05.613333+00,2025-06-26 11:58:05.613333+00,,UNDERGROUND & ALTERNATIVE,
