Id,IsActive,IsDeleted,CreatedOn,LastModifiedOn,DeletedOn,EventId,ArtistId,OrganizerId,PublicUserId
36,t,f,2025-04-09 11:57:59.516+00,2025-04-09 11:57:59.516+00,,102,,44,
45,t,f,2025-04-28 18:44:10.339+00,2025-04-28 18:44:10.339+00,,102,,,20
51,t,f,2025-05-07 09:34:41.574+00,2025-05-07 09:34:41.574+00,,102,,,19
60,t,f,2025-06-03 15:48:37.033+00,2025-06-03 15:48:37.033+00,,112,,51,
63,t,f,2025-06-23 12:19:01.725+00,2025-06-23 12:19:01.725+00,,137,,,22
64,t,f,2025-06-23 12:19:15.079+00,2025-06-23 12:19:15.079+00,,139,,,22
65,t,f,2025-06-23 12:19:30.199+00,2025-06-23 12:19:30.199+00,,142,,,22
