Id,IsActive,IsDeleted,CreatedOn,LastModifiedOn,DeletedOn,ArtistId,OrganizerId,BookingId,LastMessageTimestamp
41,t,f,2025-07-23 12:56:15.778+00,2025-07-23 12:56:15.778+00,,105,59,124,0001-01-01 00:00:00+00
42,t,f,2025-07-23 15:45:03.554+00,2025-07-23 15:45:03.554+00,,105,59,123,0001-01-01 00:00:00+00
43,t,f,2025-07-23 15:46:50.925+00,2025-07-23 15:46:50.925+00,,105,59,126,2025-07-23 15:47:32.68964+00
44,t,f,2025-07-23 16:25:19.513+00,2025-07-23 16:25:19.513+00,,105,54,181,2025-10-30 17:23:20.098398+00
48,t,f,2025-10-17 15:01:44.262+00,2025-10-17 15:01:44.262+00,,123,70,192,2026-03-04 13:33:42.18546+00
